-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         aten::addcdiv_         0.12%      19.020ms         0.20%      32.904ms      10.283us       3.555ms         0.02%      23.747ms       7.421us           0 b           0 b           0 b           0 b          3200  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.800ms         0.15%      22.800ms      19.000us           0 b           0 b           0 b           0 b          1200  
                                    aten::_foreach_mul_         0.01%       1.247ms         0.03%       4.345ms      86.900us      20.607ms         0.14%      22.619ms     452.380us           0 b           0 b           0 b           0 b            50  
void at::native::(anonymous namespace)::fused_dropou...         0.00%       0.000us         0.00%       0.000us       0.000us      22.292ms         0.15%      22.292ms      13.932us           0 b           0 b           0 b           0 b          1600  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.793ms         0.15%      21.793ms      13.621us           0 b           0 b           0 b           0 b          1600  
                                             aten::prod         0.16%      25.752ms         0.31%      49.873ms      24.936us       4.870ms         0.03%      21.625ms      10.812us           0 b           0 b    1000.00 Kb           0 b          2000  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      20.607ms         0.14%      20.607ms     103.035us           0 b           0 b           0 b           0 b           200  
                                            aten::clone         0.04%       6.940ms         0.34%      55.256ms      37.487us       0.000us         0.00%      18.244ms      12.377us           0 b           0 b     747.05 Mb      -6.69 Mb          1474  
                                         cuLaunchKernel         0.08%      13.576ms         0.08%      13.576ms       6.788us      16.755ms         0.11%      16.755ms       8.377us           0 b           0 b           0 b           0 b          2000  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      15.983ms         0.11%      15.983ms      10.670us           0 b           0 b           0 b           0 b          1498  
                                  cudaFuncGetAttributes         0.04%       6.741ms         0.04%       6.741ms       5.393us      15.038ms         0.10%      15.038ms      12.030us           0 b           0 b           0 b           0 b          1250  
                                       aten::contiguous         0.03%       5.441ms         0.32%      52.625ms      42.474us       0.000us         0.00%      14.906ms      12.031us           0 b           0 b     290.24 Mb      22.12 Mb          1239  
void geqr2_alg2_domino_merge<float, float, 9, false>...         0.00%       0.000us         0.00%       0.000us       0.000us      14.754ms         0.10%      14.754ms       1.230ms           0 b           0 b           0 b           0 b            12  
                        ampere_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us      13.461ms         0.09%      13.461ms      11.584us           0 b           0 b           0 b           0 b          1162  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us      13.416ms         0.09%      13.416ms       8.385us           0 b           0 b           0 b           0 b          1600  
                                        cudaEventRecord         0.00%     157.000us         0.00%     157.000us       0.209us      10.990ms         0.07%      12.731ms      16.975us           0 b           0 b           0 b           0 b           750  
                                        aten::embedding         0.02%       3.719ms         0.11%      17.764ms      44.410us       0.000us         0.00%      12.240ms      30.600us           0 b           0 b       2.42 Gb           0 b           400  
                                     aten::index_select         0.03%       4.709ms         0.08%      13.370ms      33.425us       8.546ms         0.06%      12.240ms      30.600us           0 b           0 b       2.42 Gb           0 b           400  
                                    aten::_foreach_norm         0.04%       6.924ms         0.08%      12.261ms     245.220us      11.213ms         0.08%      11.901ms     238.020us           0 b           0 b      25.00 Kb      -7.10 Mb            50  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      11.063ms         0.07%      11.063ms      55.315us           0 b           0 b           0 b           0 b           200  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      10.664ms         0.07%      10.664ms       0.993us           0 b           0 b           0 b           0 b         10734  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us       8.546ms         0.06%       8.546ms      21.365us           0 b           0 b           0 b           0 b           400  
    autograd::engine::evaluate_function: SliceBackward0         0.01%       2.089ms         0.12%      18.747ms      93.735us       0.000us         0.00%       8.435ms      42.175us           0 b           0 b           0 b      -2.34 Gb           200  
