-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        SelectBackward0         0.00%     211.298us         0.03%       4.000ms      80.001us       0.000us         0.00%       3.009ms      60.188us           0 B           0 B     600.00 MB           0 B            50  
                                  aten::select_backward         0.00%     568.149us         0.02%       3.789ms      75.775us       0.000us         0.00%       3.009ms      60.188us           0 B           0 B     600.00 MB           0 B            50  
                                            aten::zeros         0.01%       1.440ms         0.06%       9.122ms      45.608us       0.000us         0.00%      23.215ms     116.074us           0 B           0 B       5.06 GB           0 B           200  
                               NativeLayerNormBackward0         0.02%       3.141ms         0.21%      33.456ms      51.470us       0.000us         0.00%     184.788ms     284.289us           0 B           0 B       7.62 GB           0 B           650  
                       aten::native_layer_norm_backward         0.07%      10.338ms         0.19%      30.314ms      46.637us     184.788ms         1.29%     184.788ms     284.289us           0 B           0 B       7.62 GB           0 B           650  
      autograd::engine::evaluate_function: AddBackward0         0.03%       4.171ms         0.04%       6.503ms      10.004us       0.000us         0.00%       2.931ms       4.510us           0 B           0 B      18.75 MB           0 B           650  
                                           AddBackward0         0.01%       1.034ms         0.01%       1.034ms       1.590us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           650  
                                        cudaMemsetAsync         0.24%      36.923ms         0.24%      36.923ms       6.366us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          5800  
                                          GeluBackward0         0.01%       1.195ms         0.06%       9.051ms      30.169us       0.000us         0.00%     183.041ms     610.138us           0 B           0 B      14.06 GB           0 B           300  
                                             aten::add_         0.70%     110.268ms         1.30%     203.691ms      14.977us     371.853ms         2.59%     371.856ms      27.342us           0 B           0 B           0 B           0 B         13600  
autograd::engine::evaluate_function: TransposeBackwa...         0.05%       7.954ms         0.11%      16.588ms      13.824us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1200  
                                     TransposeBackward0         0.02%       2.510ms         0.06%       8.634ms       7.195us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1200  
            ScaledDotProductEfficientAttentionBackward0         0.02%       2.899ms         0.89%     138.950ms     463.166us       0.000us         0.00%        1.130s       3.765ms           0 B           0 B      10.55 GB           0 B           300  
aten::_scaled_dot_product_efficient_attention_backwa...         0.04%       6.838ms         0.87%     136.051ms     453.502us       0.000us         0.00%        1.130s       3.765ms           0 B           0 B      10.55 GB           0 B           300  
                                       aten::contiguous         0.00%     756.115us         0.06%      10.096ms      33.654us       0.000us         0.00%       1.514ms       5.046us           0 B           0 B      56.25 MB           0 B           300  
                                  cudaFuncGetAttributes         0.47%      74.308ms         0.47%      74.308ms     247.692us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           300  
